Timestep,State,Current RUL,Cummulative Reward
443,8,[0.11568591],27300
444,0,[0.03537185],28300
445,1,[0.05518855],29200
446,1,[0.03031281],30100
447,2,[0.04237363],30900
448,3,[0.12595435],31400
449,7,[0.12595435],30900
450,7,[0.12595435],30400
451,7,[0.12595435],29900
452,7,[0.12595435],29400
453,2,[0.02555635],30200
454,2,[0.0179307],31000
455,3,[0.02763537],31500
456,3,[0.00959838],32000
457,3,[0.13179408],32500
458,7,[0.13179408],32000
459,2,[0.04382403],32800
460,2,[0.01900067],33600
461,2,[0.02735867],34400
462,2,[0.01351265],35200
463,2,[0.04546882],36000
464,2,[0.02213699],36800
465,2,[0.01994298],37600
466,3,[0.06971168],38100
467,3,[0.02628774],38600
468,3,[0.02120354],39100
469,8,[0.08986598],36100
470,8,[0.17687066],33100
471,8,[0.14482986],30100
472,8,[0.12779692],27100
473,8,[0.1104592],24100
474,0,[0.02994007],25100
475,0,[0.02027543],26100
476,0,[0.01270603],27100
477,1,[0.07075111],28000
478,9,[0.11756406],27000
479,9,[0.09281624],26000
480,9,[0.18139006],25000
481,9,[0.12737785],24000
482,9,[0.12316347],23000
483,9,[0.14988167],22000
484,9,[0.12835027],21000
485,9,[0.11886428],20000
486,0,[0.02996091],21000
487,0,[0.0129841],22000
488,0,[0.03308473],23000
489,1,[0.02727826],23900
490,1,[0.0748728],24800
491,1,[0.03151896],25700
492,1,[0.04010026],26600
493,1,[0.0218533],27500
494,1,[0.02584078],28400
495,1,[0.01863187],29300
496,2,[0.02946886],30100
497,2,[0.02595429],30900
498,2,[0.02409543],31700
499,2,[0.036581],32500
500,2,[0.03621337],33300
501,2,[0.04366193],34100
502,2,[0.04870393],34900
503,2,[0.03810897],35700
504,2,[0.05418351],36500
505,2,[0.02250236],37300
506,2,[0.01332567],38100
507,2,[0.02546365],38900
508,2,[0.0208224],39700
509,2,[0.05840831],40500
510,3,[0.04140598],41000
511,3,[0.12707236],41500
512,7,[0.12707236],41000
513,7,[0.12707236],40500
514,2,[0.02351943],41300
515,3,[0.02351943],41800
516,7,[0.0843673],41300
517,7,[0.0843673],40800
518,2,[0.03584937],41600
519,2,[0.02636153],42400
520,2,[0.01567176],43200
521,3,[0.03303097],43700
522,3,[0.02575507],44200
523,3,[0.0331659],44700
524,3,[0.04926024],45200
525,8,[0.11148579],42200
526,8,[0.14296371],39200
527,8,[0.12409756],36200
528,8,[0.1037873],33200
529,8,[0.12893886],30200
530,8,[0.12893886],27200
531,8,[0.15644845],24200
532,0,[0.02522726],25200
533,0,[0.02220571],26200
534,1,[0.02604207],27100
535,1,[0.02557496],28000
536,2,[0.02249482],28800
537,2,[0.08637313],29600
538,6,[0.08637313],29100
539,1,[0.0161527],30000
540,1,[0.03645656],30900
541,2,[0.04067179],31700
542,3,[0.03786296],32200
543,3,[0.03281082],32700
544,3,[0.03196636],33200
545,3,[0.09742431],33700
546,7,[0.09742431],33200
547,2,[0.02863955],34000
548,3,[0.16498252],34500
549,7,[0.16498252],34000
550,7,[0.16498252],33500
551,2,[0.04434529],34300
552,3,[0.03832726],34800
553,3,[0.0696848],35300
554,3,[0.12956933],35800
555,7,[0.12956933],35300
556,2,[0.09081362],36100
557,6,[0.09081362],35600
558,6,[0.09081362],35100
559,6,[0.09081362],34600
560,1,[0.02321137],35500
561,1,[0.01062349],36400
562,1,[0.05229326],37300
563,2,[0.02408626],38100
564,3,[0.21083285],38600
565,7,[0.21083285],38100
566,2,[0.02026196],38900
